No_of_crime,Location,Offences,Year
5,Northland District,Homicide and related offences,1995
1153,Northland District,Acts intended to cause injury,1995
46,Northland District,Sexual assault and related offences,1995
28,Northland District,Dangerous or negligent acts endangering persons,1995
191,Northland District,"Abduction, harassment and other related offences against a person",1995
44,Northland District,"Robbery, extortion and related offences",1995
744,Northland District,"Unlawful entry with intent/burglary, break and enter",1995
1591,Northland District,Theft and related offences,1995
456,Northland District,"Fraud, deception and related offences",1995
1467,Northland District,Illicit drug offences,1995
244,Northland District,Prohibited and regulated weapons and explosives offences,1995
519,Northland District,Property damage and environmental pollution,1995
963,Northland District,Public order offences,1995
423,Northland District,"Offences against justice procedures, government security and government operations",1995
45,Northland District,Miscellaneous offences,1995
1,Waitemata District,Homicide and related offences,1995
2001,Waitemata District,Acts intended to cause injury,1995
109,Waitemata District,Sexual assault and related offences,1995
41,Waitemata District,Dangerous or negligent acts endangering persons,1995
603,Waitemata District,"Abduction, harassment and other related offences against a person",1995
49,Waitemata District,"Robbery, extortion and related offences",1995
669,Waitemata District,"Unlawful entry with intent/burglary, break and enter",1995
2629,Waitemata District,Theft and related offences,1995
944,Waitemata District,"Fraud, deception and related offences",1995
1362,Waitemata District,Illicit drug offences,1995
391,Waitemata District,Prohibited and regulated weapons and explosives offences,1995
1205,Waitemata District,Property damage and environmental pollution,1995
1999,Waitemata District,Public order offences,1995
477,Waitemata District,"Offences against justice procedures, government security and government operations",1995
37,Waitemata District,Miscellaneous offences,1995
5,Auckland District,Homicide and related offences,1995
2561,Auckland District,Acts intended to cause injury,1995
134,Auckland District,Sexual assault and related offences,1995
35,Auckland District,Dangerous or negligent acts endangering persons,1995
473,Auckland District,"Abduction, harassment and other related offences against a person",1995
157,Auckland District,"Robbery, extortion and related offences",1995
1066,Auckland District,"Unlawful entry with intent/burglary, break and enter",1995
1632,Auckland District,"Fraud, deception and related offences",1995
2334,Auckland District,Illicit drug offences,1995
405,Auckland District,Prohibited and regulated weapons and explosives offences,1995
1639,Auckland District,Property damage and environmental pollution,1995
1080,Auckland District,"Offences against justice procedures, government security and government operations",1995
201,Auckland District,Miscellaneous offences,1995
2,Counties/Manukau District,Homicide and related offences,1995
144,Counties/Manukau District,Sexual assault and related offences,1995
65,Counties/Manukau District,Dangerous or negligent acts endangering persons,1995
495,Counties/Manukau District,"Abduction, harassment and other related offences against a person",1995
129,Counties/Manukau District,"Robbery, extortion and related offences",1995
1087,Counties/Manukau District,Illicit drug offences,1995
395,Counties/Manukau District,Prohibited and regulated weapons and explosives offences,1995
1170,Counties/Manukau District,Property damage and environmental pollution,1995
1012,Counties/Manukau District,"Offences against justice procedures, government security and government operations",1995
90,Counties/Manukau District,Miscellaneous offences,1995
6,Waikato District,Homicide and related offences,1995
2198,Waikato District,Acts intended to cause injury,1995
97,Waikato District,"Robbery, extortion and related offences",1995
1209,Waikato District,"Unlawful entry with intent/burglary, break and enter",1995
3574,Waikato District,Theft and related offences,1995
1920,Waikato District,Illicit drug offences,1995
399,Waikato District,Prohibited and regulated weapons and explosives offences,1995
1350,Waikato District,Property damage and environmental pollution,1995
2861,Waikato District,Public order offences,1995
2144,Bay Of Plenty District,Acts intended to cause injury,1995
128,Bay Of Plenty District,Sexual assault and related offences,1995
59,Bay Of Plenty District,Dangerous or negligent acts endangering persons,1995
82,Bay Of Plenty District,"Robbery, extortion and related offences",1995
1305,Bay Of Plenty District,"Unlawful entry with intent/burglary, break and enter",1995
1101,Bay Of Plenty District,"Fraud, deception and related offences",1995
2453,Bay Of Plenty District,Illicit drug offences,1995
1027,Bay Of Plenty District,"Offences against justice procedures, government security and government operations",1995
322,Bay Of Plenty District,Miscellaneous offences,1995
7,Hawkes Bay Area,Homicide and related offences,1995
1039,Hawkes Bay Area,Acts intended to cause injury,1995
59,Hawkes Bay Area,Sexual assault and related offences,1995
24,Hawkes Bay Area,Dangerous or negligent acts endangering persons,1995
52,Hawkes Bay Area,"Robbery, extortion and related offences",1995
498,Hawkes Bay Area,"Unlawful entry with intent/burglary, break and enter",1995
2037,Hawkes Bay Area,Theft and related offences,1995
191,Hawkes Bay Area,Prohibited and regulated weapons and explosives offences,1995
656,Hawkes Bay Area,Property damage and environmental pollution,1995
1288,Hawkes Bay Area,Public order offences,1995
624,Hawkes Bay Area,"Offences against justice procedures, government security and government operations",1995
27,Hawkes Bay Area,Miscellaneous offences,1995
7,Tairawhiti Area,Homicide and related offences,1995
31,Tairawhiti Area,Sexual assault and related offences,1995
9,Tairawhiti Area,Dangerous or negligent acts endangering persons,1995
97,Tairawhiti Area,"Abduction, harassment and other related offences against a person",1995
18,Tairawhiti Area,"Robbery, extortion and related offences",1995
301,Tairawhiti Area,"Unlawful entry with intent/burglary, break and enter",1995
787,Tairawhiti Area,Theft and related offences,1995
231,Tairawhiti Area,"Fraud, deception and related offences",1995
375,Tairawhiti Area,Illicit drug offences,1995
107,Tairawhiti Area,Prohibited and regulated weapons and explosives offences,1995
316,Tairawhiti Area,Property damage and environmental pollution,1995
402,Tairawhiti Area,Public order offences,1995
29,Tairawhiti Area,Miscellaneous offences,1995
7,Manawatu Area,Homicide and related offences,1995
1123,Manawatu Area,Acts intended to cause injury,1995
86,Manawatu Area,Sexual assault and related offences,1995
41,Manawatu Area,Dangerous or negligent acts endangering persons,1995
259,Manawatu Area,"Abduction, harassment and other related offences against a person",1995
36,Manawatu Area,"Robbery, extortion and related offences",1995
578,Manawatu Area,"Unlawful entry with intent/burglary, break and enter",1995
1859,Manawatu Area,Theft and related offences,1995
1114,Manawatu Area,"Fraud, deception and related offences",1995
876,Manawatu Area,Illicit drug offences,1995
831,Manawatu Area,Property damage and environmental pollution,1995
1089,Manawatu Area,Public order offences,1995
421,Manawatu Area,"Offences against justice procedures, government security and government operations",1995
47,Manawatu Area,Miscellaneous offences,1995
2,Taranaki Area,Homicide and related offences,1995
670,Taranaki Area,Acts intended to cause injury,1995
59,Taranaki Area,Sexual assault and related offences,1995
39,Taranaki Area,Dangerous or negligent acts endangering persons,1995
139,Taranaki Area,"Abduction, harassment and other related offences against a person",1995
20,Taranaki Area,"Robbery, extortion and related offences",1995
342,Taranaki Area,"Unlawful entry with intent/burglary, break and enter",1995
1381,Taranaki Area,Theft and related offences,1995
632,Taranaki Area,"Fraud, deception and related offences",1995
685,Taranaki Area,Illicit drug offences,1995
