No_of_crime,Location,Offences,Year
817,Whanganui Area,Acts intended to cause injury,2011
36,Whanganui Area,Sexual assault and related offences,2011
12,Whanganui Area,Dangerous or negligent acts endangering persons,2011
41,Whanganui Area,"Robbery, extortion and related offences",2011
334,Whanganui Area,"Unlawful entry with intent/burglary, break and enter",2011
621,Whanganui Area,Theft and related offences,2011
61,Whanganui Area,"Fraud, deception and related offences",2011
155,Whanganui Area,Prohibited and regulated weapons and explosives offences,2011
409,Whanganui Area,Property damage and environmental pollution,2011
253,Whanganui Area,"Offences against justice procedures, government security and government operations",2011
38,Whanganui Area,Miscellaneous offences,2011
4,Wellington District,Homicide and related offences,2011
3557,Wellington District,Acts intended to cause injury,2011
189,Wellington District,Sexual assault and related offences,2011
61,Wellington District,Dangerous or negligent acts endangering persons,2011
988,Wellington District,"Abduction, harassment and other related offences against a person",2011
116,Wellington District,"Robbery, extortion and related offences",2011
876,Wellington District,"Unlawful entry with intent/burglary, break and enter",2011
3519,Wellington District,Theft and related offences,2011
347,Wellington District,"Fraud, deception and related offences",2011
1796,Wellington District,Illicit drug offences,2011
1676,Wellington District,Property damage and environmental pollution,2011
1574,Wellington District,"Offences against justice procedures, government security and government operations",2011
107,Wellington District,Miscellaneous offences,2011
1627,Tasman District,Acts intended to cause injury,2011
501,Tasman District,"Abduction, harassment and other related offences against a person",2011
40,Tasman District,"Robbery, extortion and related offences",2011
514,Tasman District,"Unlawful entry with intent/burglary, break and enter",2011
1822,Tasman District,Illicit drug offences,2011
267,Tasman District,Prohibited and regulated weapons and explosives offences,2011
1010,Tasman District,Property damage and environmental pollution,2011
2715,Tasman District,Public order offences,2011
0,Marlborough Area,Homicide and related offences,2011
492,Marlborough Area,Acts intended to cause injury,2011
30,Marlborough Area,Sexual assault and related offences,2011
130,Marlborough Area,"Abduction, harassment and other related offences against a person",2011
23,Marlborough Area,"Robbery, extortion and related offences",2011
176,Marlborough Area,"Unlawful entry with intent/burglary, break and enter",2011
632,Marlborough Area,Theft and related offences,2011
93,Marlborough Area,"Fraud, deception and related offences",2011
539,Marlborough Area,Illicit drug offences,2011
88,Marlborough Area,Prohibited and regulated weapons and explosives offences,2011
334,Marlborough Area,Property damage and environmental pollution,2011
1032,Marlborough Area,Public order offences,2011
195,Marlborough Area,"Offences against justice procedures, government security and government operations",2011
37,Marlborough Area,Miscellaneous offences,2011
4,Nelson Bays Area,Homicide and related offences,2011
824,Nelson Bays Area,Acts intended to cause injury,2011
51,Nelson Bays Area,Sexual assault and related offences,2011
8,Nelson Bays Area,Dangerous or negligent acts endangering persons,2011
227,Nelson Bays Area,"Abduction, harassment and other related offences against a person",2011
12,Nelson Bays Area,"Robbery, extortion and related offences",2011
213,Nelson Bays Area,"Unlawful entry with intent/burglary, break and enter",2011
66,Nelson Bays Area,"Fraud, deception and related offences",2011
1013,Nelson Bays Area,Illicit drug offences,2011
119,Nelson Bays Area,Prohibited and regulated weapons and explosives offences,2011
445,Nelson Bays Area,Property damage and environmental pollution,2011
1185,Nelson Bays Area,Public order offences,2011
31,Nelson Bays Area,Miscellaneous offences,2011
0,West Coast Area,Homicide and related offences,2011
311,West Coast Area,Acts intended to cause injury,2011
144,West Coast Area,"Abduction, harassment and other related offences against a person",2011
5,West Coast Area,"Robbery, extortion and related offences",2011
125,West Coast Area,"Unlawful entry with intent/burglary, break and enter",2011
201,West Coast Area,Theft and related offences,2011
270,West Coast Area,Illicit drug offences,2011
60,West Coast Area,Prohibited and regulated weapons and explosives offences,2011
231,West Coast Area,Property damage and environmental pollution,2011
498,West Coast Area,Public order offences,2011
94,West Coast Area,"Offences against justice procedures, government security and government operations",2011
13,West Coast Area,Miscellaneous offences,2011
10,Canterbury District,Homicide and related offences,2011
2812,Canterbury District,Acts intended to cause injury,2011
182,Canterbury District,Sexual assault and related offences,2011
43,Canterbury District,Dangerous or negligent acts endangering persons,2011
842,Canterbury District,"Abduction, harassment and other related offences against a person",2011
107,Canterbury District,"Robbery, extortion and related offences",2011
1121,Canterbury District,"Unlawful entry with intent/burglary, break and enter",2011
3546,Canterbury District,Theft and related offences,2011
435,Canterbury District,"Fraud, deception and related offences",2011
1883,Canterbury District,Illicit drug offences,2011
546,Canterbury District,Prohibited and regulated weapons and explosives offences,2011
1717,Canterbury District,Property damage and environmental pollution,2011
1616,Canterbury District,"Offences against justice procedures, government security and government operations",2011
272,Canterbury District,Miscellaneous offences,2011
6,Otago Coastal Area,Homicide and related offences,2011
1177,Otago Coastal Area,Acts intended to cause injury,2011
35,Otago Coastal Area,Sexual assault and related offences,2011
17,Otago Coastal Area,Dangerous or negligent acts endangering persons,2011
328,Otago Coastal Area,"Abduction, harassment and other related offences against a person",2011
23,Otago Coastal Area,"Robbery, extortion and related offences",2011
305,Otago Coastal Area,"Unlawful entry with intent/burglary, break and enter",2011
1395,Otago Coastal Area,Theft and related offences,2011
165,Otago Coastal Area,"Fraud, deception and related offences",2011
471,Otago Coastal Area,Illicit drug offences,2011
187,Otago Coastal Area,Prohibited and regulated weapons and explosives offences,2011
778,Otago Coastal Area,Property damage and environmental pollution,2011
1312,Otago Coastal Area,Public order offences,2011
403,Otago Coastal Area,"Offences against justice procedures, government security and government operations",2011
46,Otago Coastal Area,Miscellaneous offences,2011
1,Otago Lakes Central Area,Homicide and related offences,2011
334,Otago Lakes Central Area,Acts intended to cause injury,2011
11,Otago Lakes Central Area,Sexual assault and related offences,2011
8,Otago Lakes Central Area,Dangerous or negligent acts endangering persons,2011
63,Otago Lakes Central Area,"Abduction, harassment and other related offences against a person",2011
2,Otago Lakes Central Area,"Robbery, extortion and related offences",2011
62,Otago Lakes Central Area,"Unlawful entry with intent/burglary, break and enter",2011
302,Otago Lakes Central Area,Theft and related offences,2011
87,Otago Lakes Central Area,"Fraud, deception and related offences",2011
275,Otago Lakes Central Area,Illicit drug offences,2011
238,Otago Lakes Central Area,Property damage and environmental pollution,2011
613,Otago Lakes Central Area,Public order offences,2011
84,Otago Lakes Central Area,"Offences against justice procedures, government security and government operations",2011
25,Otago Lakes Central Area,Miscellaneous offences,2011
945,Southland Area,Acts intended to cause injury,2011
38,Southland Area,Sexual assault and related offences,2011
29,Southland Area,Dangerous or negligent acts endangering persons,2011
22,Southland Area,"Robbery, extortion and related offences",2011
911,Southland Area,Theft and related offences,2011
233,Southland Area,"Fraud, deception and related offences",2011
513,Southland Area,Illicit drug offences,2011
197,Southland Area,Prohibited and regulated weapons and explosives offences,2011
979,Southland Area,Public order offences,2011
270,Southland Area,"Offences against justice procedures, government security and government operations",2011
31,Southland Area,Miscellaneous offences,2011
4,Northland District,Homicide and related offences,2012
129,Northland District,Sexual assault and related offences,2012
36,Northland District,Dangerous or negligent acts endangering persons,2012
74,Northland District,"Robbery, extortion and related offences",2012
603,Northland District,"Unlawful entry with intent/burglary, break and enter",2012
1306,Northland District,Theft and related offences,2012
133,Northland District,"Fraud, deception and related offences",2012
1125,Northland District,Illicit drug offences,2012
329,Northland District,Prohibited and regulated weapons and explosives offences,2012
720,Northland District,Property damage and environmental pollution,2012
1608,Northland District,Public order offences,2012
653,Northland District,"Offences against justice procedures, government security and government operations",2012
10,Northland District,Miscellaneous offences,2012
0,Waitemata District,Homicide and related offences,2012
3039,Waitemata District,Acts intended to cause injury,2012
151,Waitemata District,Sexual assault and related offences,2012
40,Waitemata District,Dangerous or negligent acts endangering persons,2012
107,Waitemata District,"Robbery, extortion and related offences",2012
728,Waitemata District,"Unlawful entry with intent/burglary, break and enter",2012
423,Waitemata District,"Fraud, deception and related offences",2012
1807,Waitemata District,Illicit drug offences,2012
1303,Waitemata District,Property damage and environmental pollution,2012
2199,Waitemata District,Public order offences,2012
2130,Waitemata District,"Offences against justice procedures, government security and government operations",2012
2585,Auckland District,Acts intended to cause injury,2012
159,Auckland District,Sexual assault and related offences,2012
86,Auckland District,Dangerous or negligent acts endangering persons,2012
631,Auckland District,"Abduction, harassment and other related offences against a person",2012
3057,Auckland District,Theft and related offences,2012
373,Auckland District,"Fraud, deception and related offences",2012
1713,Auckland District,Illicit drug offences,2012
1198,Auckland District,Property damage and environmental pollution,2012
1212,Auckland District,"Offences against justice procedures, government security and government operations",2012
56,Auckland District,Miscellaneous offences,2012
10,Counties/Manukau District,Homicide and related offences,2012
193,Counties/Manukau District,Sexual assault and related offences,2012
155,Counties/Manukau District,Dangerous or negligent acts endangering persons,2012
1392,Counties/Manukau District,"Abduction, harassment and other related offences against a person",2012
210,Counties/Manukau District,"Robbery, extortion and related offences",2012
1338,Counties/Manukau District,"Unlawful entry with intent/burglary, break and enter",2012
3079,Counties/Manukau District,Theft and related offences,2012
416,Counties/Manukau District,"Fraud, deception and related offences",2012
2534,Counties/Manukau District,Illicit drug offences,2012
804,Counties/Manukau District,Prohibited and regulated weapons and explosives offences,2012
1870,Counties/Manukau District,Property damage and environmental pollution,2012
1750,Counties/Manukau District,"Offences against justice procedures, government security and government operations",2012
95,Counties/Manukau District,Miscellaneous offences,2012
8,Waikato District,Homicide and related offences,2012
2599,Waikato District,Acts intended to cause injury,2012
40,Waikato District,Dangerous or negligent acts endangering persons,2012
670,Waikato District,"Abduction, harassment and other related offences against a person",2012
101,Waikato District,"Robbery, extortion and related offences",2012
1298,Waikato District,"Unlawful entry with intent/burglary, break and enter",2012
2480,Waikato District,Theft and related offences,2012
1701,Waikato District,Illicit drug offences,2012
477,Waikato District,Prohibited and regulated weapons and explosives offences,2012
1243,Waikato District,Property damage and environmental pollution,2012
11,Bay Of Plenty District,Homicide and related offences,2012
3293,Bay Of Plenty District,Acts intended to cause injury,2012
194,Bay Of Plenty District,Sexual assault and related offences,2012
77,Bay Of Plenty District,Dangerous or negligent acts endangering persons,2012
123,Bay Of Plenty District,"Robbery, extortion and related offences",2012
1287,Bay Of Plenty District,"Unlawful entry with intent/burglary, break and enter",2012
3513,Bay Of Plenty District,Theft and related offences,2012
472,Bay Of Plenty District,"Fraud, deception and related offences",2012
2459,Bay Of Plenty District,Illicit drug offences,2012
573,Bay Of Plenty District,Prohibited and regulated weapons and explosives offences,2012
1763,Bay Of Plenty District,Property damage and environmental pollution,2012
1435,Bay Of Plenty District,"Offences against justice procedures, government security and government operations",2012
99,Bay Of Plenty District,Miscellaneous offences,2012
2,Hawkes Bay Area,Homicide and related offences,2012
1380,Hawkes Bay Area,Acts intended to cause injury,2012
77,Hawkes Bay Area,Sexual assault and related offences,2012
29,Hawkes Bay Area,Dangerous or negligent acts endangering persons,2012
303,Hawkes Bay Area,"Abduction, harassment and other related offences against a person",2012
49,Hawkes Bay Area,"Robbery, extortion and related offences",2012
429,Hawkes Bay Area,"Unlawful entry with intent/burglary, break and enter",2012
1533,Hawkes Bay Area,Theft and related offences,2012
183,Hawkes Bay Area,"Fraud, deception and related offences",2012
238,Hawkes Bay Area,Prohibited and regulated weapons and explosives offences,2012
579,Hawkes Bay Area,Property damage and environmental pollution,2012
1804,Hawkes Bay Area,Public order offences,2012
543,Hawkes Bay Area,"Offences against justice procedures, government security and government operations",2012
47,Hawkes Bay Area,Miscellaneous offences,2012
1,Tairawhiti Area,Homicide and related offences,2012
887,Tairawhiti Area,Acts intended to cause injury,2012
88,Tairawhiti Area,Sexual assault and related offences,2012
16,Tairawhiti Area,Dangerous or negligent acts endangering persons,2012
257,Tairawhiti Area,"Abduction, harassment and other related offences against a person",2012
30,Tairawhiti Area,"Robbery, extortion and related offences",2012
280,Tairawhiti Area,"Unlawful entry with intent/burglary, break and enter",2012
562,Tairawhiti Area,Theft and related offences,2012
40,Tairawhiti Area,"Fraud, deception and related offences",2012
369,Tairawhiti Area,Illicit drug offences,2012
186,Tairawhiti Area,Prohibited and regulated weapons and explosives offences,2012
370,Tairawhiti Area,Property damage and environmental pollution,2012
858,Tairawhiti Area,Public order offences,2012
273,Tairawhiti Area,"Offences against justice procedures, government security and government operations",2012
20,Tairawhiti Area,Miscellaneous offences,2012
1,Manawatu Area,Homicide and related offences,2012
1337,Manawatu Area,Acts intended to cause injury,2012
56,Manawatu Area,Sexual assault and related offences,2012
18,Manawatu Area,Dangerous or negligent acts endangering persons,2012
316,Manawatu Area,"Abduction, harassment and other related offences against a person",2012
47,Manawatu Area,"Robbery, extortion and related offences",2012
406,Manawatu Area,"Unlawful entry with intent/burglary, break and enter",2012
161,Manawatu Area,"Fraud, deception and related offences",2012
599,Manawatu Area,Illicit drug offences,2012
324,Manawatu Area,Prohibited and regulated weapons and explosives offences,2012
670,Manawatu Area,Property damage and environmental pollution,2012
1190,Manawatu Area,Public order offences,2012
527,Manawatu Area,"Offences against justice procedures, government security and government operations",2012
38,Manawatu Area,Miscellaneous offences,2012
1,Taranaki Area,Homicide and related offences,2012
849,Taranaki Area,Acts intended to cause injury,2012
69,Taranaki Area,Sexual assault and related offences,2012
200,Taranaki Area,"Abduction, harassment and other related offences against a person",2012
24,Taranaki Area,"Robbery, extortion and related offences",2012
213,Taranaki Area,"Unlawful entry with intent/burglary, break and enter",2012
789,Taranaki Area,Theft and related offences,2012
128,Taranaki Area,"Fraud, deception and related offences",2012
533,Taranaki Area,Illicit drug offences,2012
159,Taranaki Area,Prohibited and regulated weapons and explosives offences,2012
461,Taranaki Area,Property damage and environmental pollution,2012
1027,Taranaki Area,Public order offences,2012
234,Taranaki Area,"Offences against justice procedures, government security and government operations",2012
26,Taranaki Area,Miscellaneous offences,2012
2,Whanganui Area,Homicide and related offences,2012
40,Whanganui Area,Sexual assault and related offences,2012
4,Whanganui Area,Dangerous or negligent acts endangering persons,2012
145,Whanganui Area,"Abduction, harassment and other related offences against a person",2012
12,Whanganui Area,"Robbery, extortion and related offences",2012
258,Whanganui Area,"Unlawful entry with intent/burglary, break and enter",2012
523,Whanganui Area,Theft and related offences,2012
51,Whanganui Area,"Fraud, deception and related offences",2012
348,Whanganui Area,Illicit drug offences,2012
124,Whanganui Area,Prohibited and regulated weapons and explosives offences,2012
318,Whanganui Area,Property damage and environmental pollution,2012
409,Whanganui Area,Public order offences,2012
244,Whanganui Area,"Offences against justice procedures, government security and government operations",2012
9,Whanganui Area,Miscellaneous offences,2012
10,Wellington District,Homicide and related offences,2012
187,Wellington District,Sexual assault and related offences,2012
38,Wellington District,Dangerous or negligent acts endangering persons,2012
880,Wellington District,"Abduction, harassment and other related offences against a person",2012
76,Wellington District,"Robbery, extortion and related offences",2012
837,Wellington District,"Unlawful entry with intent/burglary, break and enter",2012
405,Wellington District,"Fraud, deception and related offences",2012
2594,Wellington District,Illicit drug offences,2012
434,Wellington District,Prohibited and regulated weapons and explosives offences,2012
3386,Wellington District,Public order offences,2012
1224,Wellington District,"Offences against justice procedures, government security and government operations",2012
106,Wellington District,Miscellaneous offences,2012
3,Tasman District,Homicide and related offences,2012
1588,Tasman District,Acts intended to cause injury,2012
27,Tasman District,Dangerous or negligent acts endangering persons,2012
495,Tasman District,"Abduction, harassment and other related offences against a person",2012
32,Tasman District,"Robbery, extortion and related offences",2012
337,Tasman District,"Unlawful entry with intent/burglary, break and enter",2012
188,Tasman District,"Fraud, deception and related offences",2012
236,Tasman District,Prohibited and regulated weapons and explosives offences,2012
880,Tasman District,Property damage and environmental pollution,2012
2650,Tasman District,Public order offences,2012
91,Tasman District,Miscellaneous offences,2012
0,Marlborough Area,Homicide and related offences,2012
407,Marlborough Area,Acts intended to cause injury,2012
32,Marlborough Area,Sexual assault and related offences,2012
15,Marlborough Area,Dangerous or negligent acts endangering persons,2012
126,Marlborough Area,"Abduction, harassment and other related offences against a person",2012
17,Marlborough Area,"Robbery, extortion and related offences",2012
106,Marlborough Area,"Unlawful entry with intent/burglary, break and enter",2012
533,Marlborough Area,Theft and related offences,2012
64,Marlborough Area,"Fraud, deception and related offences",2012
87,Marlborough Area,Prohibited and regulated weapons and explosives offences,2012
247,Marlborough Area,Property damage and environmental pollution,2012
901,Marlborough Area,Public order offences,2012
170,Marlborough Area,"Offences against justice procedures, government security and government operations",2012
3,Nelson Bays Area,Homicide and related offences,2012
866,Nelson Bays Area,Acts intended to cause injury,2012
35,Nelson Bays Area,Sexual assault and related offences,2012
9,Nelson Bays Area,Dangerous or negligent acts endangering persons,2012
215,Nelson Bays Area,"Abduction, harassment and other related offences against a person",2012
184,Nelson Bays Area,"Unlawful entry with intent/burglary, break and enter",2012
791,Nelson Bays Area,Theft and related offences,2012
104,Nelson Bays Area,"Fraud, deception and related offences",2012
1270,Nelson Bays Area,Public order offences,2012
277,Nelson Bays Area,"Offences against justice procedures, government security and government operations",2012
45,Nelson Bays Area,Miscellaneous offences,2012
0,West Coast Area,Homicide and related offences,2012
17,West Coast Area,Sexual assault and related offences,2012
3,West Coast Area,Dangerous or negligent acts endangering persons,2012
154,West Coast Area,"Abduction, harassment and other related offences against a person",2012
9,West Coast Area,"Robbery, extortion and related offences",2012
47,West Coast Area,"Unlawful entry with intent/burglary, break and enter",2012
153,West Coast Area,Theft and related offences,2012
20,West Coast Area,"Fraud, deception and related offences",2012
63,West Coast Area,Prohibited and regulated weapons and explosives offences,2012
220,West Coast Area,Property damage and environmental pollution,2012
479,West Coast Area,Public order offences,2012
87,West Coast Area,"Offences against justice procedures, government security and government operations",2012
11,West Coast Area,Miscellaneous offences,2012
12,Canterbury District,Homicide and related offences,2012
2893,Canterbury District,Acts intended to cause injury,2012
209,Canterbury District,Sexual assault and related offences,2012
38,Canterbury District,Dangerous or negligent acts endangering persons,2012
690,Canterbury District,"Abduction, harassment and other related offences against a person",2012
113,Canterbury District,"Robbery, extortion and related offences",2012
641,Canterbury District,"Fraud, deception and related offences",2012
1939,Canterbury District,Illicit drug offences,2012
592,Canterbury District,Prohibited and regulated weapons and explosives offences,2012
2138,Canterbury District,Property damage and environmental pollution,2012
1674,Canterbury District,"Offences against justice procedures, government security and government operations",2012
224,Canterbury District,Miscellaneous offences,2012
2,Otago Coastal Area,Homicide and related offences,2012
1051,Otago Coastal Area,Acts intended to cause injury,2012
31,Otago Coastal Area,Sexual assault and related offences,2012
23,Otago Coastal Area,Dangerous or negligent acts endangering persons,2012
318,Otago Coastal Area,"Abduction, harassment and other related offences against a person",2012
21,Otago Coastal Area,"Robbery, extortion and related offences",2012
276,Otago Coastal Area,"Unlawful entry with intent/burglary, break and enter",2012
1533,Otago Coastal Area,Theft and related offences,2012
323,Otago Coastal Area,"Fraud, deception and related offences",2012
511,Otago Coastal Area,Illicit drug offences,2012
149,Otago Coastal Area,Prohibited and regulated weapons and explosives offences,2012
630,Otago Coastal Area,Property damage and environmental pollution,2012
1182,Otago Coastal Area,Public order offences,2012
365,Otago Coastal Area,"Offences against justice procedures, government security and government operations",2012
32,Otago Coastal Area,Miscellaneous offences,2012
0,Otago Lakes Central Area,Homicide and related offences,2012
337,Otago Lakes Central Area,Acts intended to cause injury,2012
8,Otago Lakes Central Area,Sexual assault and related offences,2012
10,Otago Lakes Central Area,Dangerous or negligent acts endangering persons,2012
64,Otago Lakes Central Area,"Abduction, harassment and other related offences against a person",2012
1,Otago Lakes Central Area,"Robbery, extortion and related offences",2012
63,Otago Lakes Central Area,"Unlawful entry with intent/burglary, break and enter",2012
327,Otago Lakes Central Area,Theft and related offences,2012
70,Otago Lakes Central Area,"Fraud, deception and related offences",2012
192,Otago Lakes Central Area,Illicit drug offences,2012
44,Otago Lakes Central Area,Prohibited and regulated weapons and explosives offences,2012
172,Otago Lakes Central Area,Property damage and environmental pollution,2012
706,Otago Lakes Central Area,Public order offences,2012
71,Otago Lakes Central Area,"Offences against justice procedures, government security and government operations",2012
13,Otago Lakes Central Area,Miscellaneous offences,2012
1,Southland Area,Homicide and related offences,2012
915,Southland Area,Acts intended to cause injury,2012
48,Southland Area,Sexual assault and related offences,2012
20,Southland Area,Dangerous or negligent acts endangering persons,2012
259,Southland Area,"Abduction, harassment and other related offences against a person",2012
12,Southland Area,"Robbery, extortion and related offences",2012
251,Southland Area,"Unlawful entry with intent/burglary, break and enter",2012
884,Southland Area,Theft and related offences,2012
246,Southland Area,"Fraud, deception and related offences",2012
366,Southland Area,Illicit drug offences,2012
164,Southland Area,Prohibited and regulated weapons and explosives offences,2012
614,Southland Area,Property damage and environmental pollution,2012
993,Southland Area,Public order offences,2012
270,Southland Area,"Offences against justice procedures, government security and government operations",2012
42,Southland Area,Miscellaneous offences,2012
1618,Northland District,Acts intended to cause injury,2013
108,Northland District,Sexual assault and related offences,2013
14,Northland District,Dangerous or negligent acts endangering persons,2013
477,Northland District,"Abduction, harassment and other related offences against a person",2013
86,Northland District,"Robbery, extortion and related offences",2013
641,Northland District,"Unlawful entry with intent/burglary, break and enter",2013
1433,Northland District,Theft and related offences,2013
270,Northland District,"Fraud, deception and related offences",2013
910,Northland District,Illicit drug offences,2013
300,Northland District,Prohibited and regulated weapons and explosives offences,2013
787,Northland District,Property damage and environmental pollution,2013
1111,Northland District,Public order offences,2013
623,Northland District,"Offences against justice procedures, government security and government operations",2013
29,Northland District,Miscellaneous offences,2013
2494,Waitemata District,Acts intended to cause injury,2013
216,Waitemata District,Sexual assault and related offences,2013
46,Waitemata District,Dangerous or negligent acts endangering persons,2013
650,Waitemata District,"Abduction, harassment and other related offences against a person",2013
82,Waitemata District,"Robbery, extortion and related offences",2013
2867,Waitemata District,Theft and related offences,2013
470,Waitemata District,"Fraud, deception and related offences",2013
1584,Waitemata District,Illicit drug offences,2013
1067,Waitemata District,Property damage and environmental pollution,2013
1967,Waitemata District,Public order offences,2013
1916,Waitemata District,"Offences against justice procedures, government security and government operations",2013
52,Waitemata District,Miscellaneous offences,2013
7,Auckland District,Homicide and related offences,2013
189,Auckland District,Sexual assault and related offences,2013
40,Auckland District,Dangerous or negligent acts endangering persons,2013
616,Auckland District,"Abduction, harassment and other related offences against a person",2013
194,Auckland District,"Robbery, extortion and related offences",2013
3167,Auckland District,Theft and related offences,2013
1502,Auckland District,Illicit drug offences,2013
407,Auckland District,Prohibited and regulated weapons and explosives offences,2013
1164,Auckland District,Property damage and environmental pollution,2013
1065,Auckland District,"Offences against justice procedures, government security and government operations",2013
43,Auckland District,Miscellaneous offences,2013
10,Counties/Manukau District,Homicide and related offences,2013
226,Counties/Manukau District,Sexual assault and related offences,2013
101,Counties/Manukau District,Dangerous or negligent acts endangering persons,2013
1165,Counties/Manukau District,"Abduction, harassment and other related offences against a person",2013
224,Counties/Manukau District,"Robbery, extortion and related offences",2013
1155,Counties/Manukau District,"Unlawful entry with intent/burglary, break and enter",2013
3252,Counties/Manukau District,Theft and related offences,2013
466,Counties/Manukau District,"Fraud, deception and related offences",2013
720,Counties/Manukau District,Prohibited and regulated weapons and explosives offences,2013
1633,Counties/Manukau District,Property damage and environmental pollution,2013
1563,Counties/Manukau District,"Offences against justice procedures, government security and government operations",2013
84,Counties/Manukau District,Miscellaneous offences,2013
2311,Waikato District,Acts intended to cause injury,2013
152,Waikato District,Sexual assault and related offences,2013
25,Waikato District,Dangerous or negligent acts endangering persons,2013
572,Waikato District,"Abduction, harassment and other related offences against a person",2013
103,Waikato District,"Robbery, extortion and related offences",2013
3136,Waikato District,Theft and related offences,2013
290,Waikato District,"Fraud, deception and related offences",2013
1282,Waikato District,Illicit drug offences,2013
1997,Waikato District,Property damage and environmental pollution,2013
39,Waikato District,Miscellaneous offences,2013
3,Bay Of Plenty District,Homicide and related offences,2013
2920,Bay Of Plenty District,Acts intended to cause injury,2013
145,Bay Of Plenty District,Sexual assault and related offences,2013
52,Bay Of Plenty District,Dangerous or negligent acts endangering persons,2013
790,Bay Of Plenty District,"Abduction, harassment and other related offences against a person",2013
138,Bay Of Plenty District,"Robbery, extortion and related offences",2013
1252,Bay Of Plenty District,"Unlawful entry with intent/burglary, break and enter",2013
3223,Bay Of Plenty District,Theft and related offences,2013
316,Bay Of Plenty District,"Fraud, deception and related offences",2013
1773,Bay Of Plenty District,Illicit drug offences,2013
576,Bay Of Plenty District,Prohibited and regulated weapons and explosives offences,2013
3424,Bay Of Plenty District,Public order offences,2013
1180,Bay Of Plenty District,"Offences against justice procedures, government security and government operations",2013
82,Bay Of Plenty District,Miscellaneous offences,2013
2,Hawkes Bay Area,Homicide and related offences,2013
1425,Hawkes Bay Area,Acts intended to cause injury,2013
76,Hawkes Bay Area,Sexual assault and related offences,2013
43,Hawkes Bay Area,Dangerous or negligent acts endangering persons,2013
325,Hawkes Bay Area,"Abduction, harassment and other related offences against a person",2013
60,Hawkes Bay Area,"Robbery, extortion and related offences",2013
512,Hawkes Bay Area,"Unlawful entry with intent/burglary, break and enter",2013
1515,Hawkes Bay Area,Theft and related offences,2013
251,Hawkes Bay Area,Prohibited and regulated weapons and explosives offences,2013
636,Hawkes Bay Area,Property damage and environmental pollution,2013
1459,Hawkes Bay Area,Public order offences,2013
602,Hawkes Bay Area,"Offences against justice procedures, government security and government operations",2013
3,Tairawhiti Area,Homicide and related offences,2013
980,Tairawhiti Area,Acts intended to cause injury,2013
38,Tairawhiti Area,Sexual assault and related offences,2013
5,Tairawhiti Area,Dangerous or negligent acts endangering persons,2013
291,Tairawhiti Area,"Abduction, harassment and other related offences against a person",2013
45,Tairawhiti Area,"Robbery, extortion and related offences",2013
280,Tairawhiti Area,"Unlawful entry with intent/burglary, break and enter",2013
564,Tairawhiti Area,Theft and related offences,2013
85,Tairawhiti Area,"Fraud, deception and related offences",2013
392,Tairawhiti Area,Illicit drug offences,2013
185,Tairawhiti Area,Prohibited and regulated weapons and explosives offences,2013
450,Tairawhiti Area,Property damage and environmental pollution,2013
847,Tairawhiti Area,Public order offences,2013
300,Tairawhiti Area,"Offences against justice procedures, government security and government operations",2013
33,Tairawhiti Area,Miscellaneous offences,2013
3,Manawatu Area,Homicide and related offences,2013
1273,Manawatu Area,Acts intended to cause injury,2013
81,Manawatu Area,Sexual assault and related offences,2013
13,Manawatu Area,Dangerous or negligent acts endangering persons,2013
344,Manawatu Area,"Abduction, harassment and other related offences against a person",2013
30,Manawatu Area,"Robbery, extortion and related offences",2013
384,Manawatu Area,"Unlawful entry with intent/burglary, break and enter",2013
1567,Manawatu Area,Theft and related offences,2013
151,Manawatu Area,"Fraud, deception and related offences",2013
472,Manawatu Area,Illicit drug offences,2013
228,Manawatu Area,Prohibited and regulated weapons and explosives offences,2013
674,Manawatu Area,Property damage and environmental pollution,2013
1154,Manawatu Area,Public order offences,2013
448,Manawatu Area,"Offences against justice procedures, government security and government operations",2013
25,Manawatu Area,Miscellaneous offences,2013
1,Taranaki Area,Homicide and related offences,2013
788,Taranaki Area,Acts intended to cause injury,2013
89,Taranaki Area,Sexual assault and related offences,2013
14,Taranaki Area,Dangerous or negligent acts endangering persons,2013
198,Taranaki Area,"Abduction, harassment and other related offences against a person",2013
23,Taranaki Area,"Robbery, extortion and related offences",2013
300,Taranaki Area,"Unlawful entry with intent/burglary, break and enter",2013
991,Taranaki Area,Theft and related offences,2013
178,Taranaki Area,"Fraud, deception and related offences",2013
358,Taranaki Area,Illicit drug offences,2013
133,Taranaki Area,Prohibited and regulated weapons and explosives offences,2013
382,Taranaki Area,Property damage and environmental pollution,2013
979,Taranaki Area,Public order offences,2013
224,Taranaki Area,"Offences against justice procedures, government security and government operations",2013
21,Taranaki Area,Miscellaneous offences,2013
3,Whanganui Area,Homicide and related offences,2013
581,Whanganui Area,Acts intended to cause injury,2013
45,Whanganui Area,Sexual assault and related offences,2013
8,Whanganui Area,Dangerous or negligent acts endangering persons,2013
148,Whanganui Area,"Abduction, harassment and other related offences against a person",2013
13,Whanganui Area,"Robbery, extortion and related offences",2013
315,Whanganui Area,"Unlawful entry with intent/burglary, break and enter",2013
526,Whanganui Area,Theft and related offences,2013
63,Whanganui Area,"Fraud, deception and related offences",2013
415,Whanganui Area,Illicit drug offences,2013
127,Whanganui Area,Prohibited and regulated weapons and explosives offences,2013
331,Whanganui Area,Property damage and environmental pollution,2013
